,QuestionID,Question,DocumentID,DocumentTitle,SentenceID,Sentence,Label
,Q121,what does a groundhog look for on groundhog day,D121,Groundhog Day,D121-1,"According to folklore, if it is cloudy when a groundhog emerges from its burrow on this day, then spring will come early; if it is sunny, the groundhog will supposedly see its shadow and retreat back into its burrow, and the winter weather will continue for six more weeks.",1
,Q127,What committees are joint committees,D127,Joint committee,D127-0,A Joint Committee is a term in politics that is used to refer to a committee made up of members of both chambers of a bicameral legislature.,1
,Q129,how many stripes on the flag,D129,Flag of the United States,D129-1,The 50 stars on the flag represent the 50 states of the United States of America and the 13 stripes represent the thirteen British colonies that declared independence from the Kingdom of Great Britain and became the first states in the Union.,1
,Q130,How many states and territories are within India?,D130,States and territories of India,D130-0,India is a federal union of states comprising twenty-eight states and seven union territories .,1
,Q136,what county is galveston in texas,D136,"Galveston County, Texas",D136-0,Galveston County is a county located in the U.S. state of Texas within the Houston–Sugar Land–Baytown metropolitan area.,1
,Q137,what cities are in the bahamas,D137,List of cities in the Bahamas,D137-0,Nassau,1
,Q137,what cities are in the bahamas,D137,List of cities in the Bahamas,D137-1,"Freeport, Bahamas",1
,Q139,how many schools are in the big ten,D139,Big Ten Conference,D139-1,"Its twelve member institutions (which are primarily flagship research universities in their respective states, well-regarded academically, and with relatively large student enrollment) are located primarily in the Midwest , stretching from Nebraska in the west to Penn State in the east.",1
,Q140,how is single malt scotch made,D140,Single malt Scotch,D140-0,"Single Malt Scotch is single malt whisky made in Scotland using a pot still distillation process at a single distillery , with malted barley as the only grain ingredient.",1
,Q140,how is single malt scotch made,D140,Single malt Scotch,D140-1,"As with any Scotch whisky , a single malt Scotch must be distilled in Scotland and matured in oak casks in Scotland for at least three years (most single malts are matured longer).",1
,Q141,what composer used sound mass,D141,Sound mass,D141-4,"Composers and works include Barbara Kolb , Pauline Oliveros ' Sound Patterns for chorus (1961), Norma Beecroft 's From Dreams of Brass for chorus (1963–1964), and Nancy Van de Vate .",1
,Q141,what composer used sound mass,D141,Sound mass,D141-7,"A very early example is the opening of Jean-Féry Rebel 's ballet Les Elémens (1737–38), where chaos is represented by a gradually cumulating orchestral cluster of all seven notes of the D minor scale (Henck 2004, pp. 52–54).",1
,Q141,what composer used sound mass,D141,Sound mass,D141-8,A later example is the third movement of Ruth Crawford Seeger 's String Quartet 1931 (Nonesuch H-71280) while more recently Phill Niblock 's multiple drone based music serves as an example.,1
,Q141,what composer used sound mass,D141,Sound mass,D141-9,"The use of ""chords approaching timbres"" begins with Debussy and Edgard Varèse often carefully scored individual instrumental parts so that they would fuse into one ensemble timbre or sound mass (Erickson 1975, pp. 18 and 21).",1
,Q141,what composer used sound mass,D141,Sound mass,D141-10,"Other examples include European ""textural"" compositions of the fifties and sixties such as Krzysztof Penderecki 's Threnody to the Victims of Hiroshima (1959) and György Ligeti 's works featuring micropolyphony in works like Atmosphères (1961) and his Requiem (1963-65).",1
,Q141,what composer used sound mass,D141,Sound mass,D141-11,"Other composers with works using this technique include Henryk Górecki , Karel Husa , Witold Lutosławski , Kazimierz Serocki , and Steven Stucky .",1
,Q141,what composer used sound mass,D141,Sound mass,D141-12,Sound mass techniques also appear in the music of George Crumb (Anon. n.d.).,1
,Q145,what continent is australia,D145,Australia (continent),D145-0,"Australia is a continent comprising mainland Australia , Tasmania , New Guinea , Seram , possibly Timor , and neighbouring islands.",1
,Q150,how many people live in atlanta georgia,D150,Atlanta,D150-0,"Atlanta (, stressed , locally ) is the capital of and the most populous city in the U.S. state of Georgia , with an estimated 2011 population of 432,427.",1
,Q150,how many people live in atlanta georgia,D150,Atlanta,D150-1,"Atlanta is the cultural and economic center of the Atlanta metropolitan area , home to 5,457,831 people and the ninth largest metropolitan area in the United States.",1
,Q159,what does it mean to be a commonwealth state,D159,Commonwealth,D159-0,Commonwealth is a traditional English term for a political community founded for the common good.,1
,Q163,how long can you be in the supreme court,D163,Supreme Court of the United States,D163-3,"Once appointed, justices have life tenure unless they resign, retire, or are removed after impeachment .",1
,Q164,what county in texas is conroe located in,D164,"Conroe, Texas",D164-0,Conroe is the seat of Montgomery County and falls within the metropolitan area.,1
,Q172,What group took home the award for best rock album at the Australian Recording Industry Association (ARIA) Music Awards?,D172,ARIA Music Awards,D172-3,"Winning, or even being nominated for, an ARIA award results in a lot of media attention on an artist, and usually increases recording sales several-fold – in 2005 , for example, after Ben Lee won three awards, his album Awake Is the New Sleep jumped from No. 31 to No. 5 in the ARIA Charts , its highest position.",1
,Q178,how does a dredge work?,D178,Dredging,D178-1,"Dredging is an excavation activity or operation usually carried out at least partly underwater, in shallow seas or fresh water areas with the purpose of gathering up bottom sediments and disposing of them at a different location.",1
,Q178,how does a dredge work?,D178,Dredging,D178-5,"A dredger (or “dredge” as is the general usage in the Americas) is any device, machine, or vessel that is used to excavate and remove material from the bottom of a body of water.",1
,Q178,how does a dredge work?,D178,Dredging,D178-6,"For example, a scoop attached to the end of a rope or pole by which a man can draw sediments up from the bottom of a pond is a dredger.",1
,Q178,how does a dredge work?,D178,Dredging,D178-7,"Developing this idea further, a motorized crane equipped with a drag bucket or clamshell (grabber) that is used to scoop material from the bottom of a body of water is also a dredger.",1
,Q178,how does a dredge work?,D178,Dredging,D178-9,"If the crane is mounted on a barge, the entire vessel is referred to as a dredger.",1
,Q180,what did benedict arnold die,D180,Benedict arnold,D180-18,"He returned to London to settle permanently in 1791, where he died ten years later.",1
,Q181,how many world series did curt schilling have,D181,Curt Schilling,D181-1,He helped lead the Philadelphia Phillies to the World Series in and won World Series championships in with the Arizona Diamondbacks and in and with the Boston Red Sox .,1
,Q185,how many ports are there in networking,D185,Port (computer networking),D185-9,"Of the thousands of enumerated ports, about 250 well-known ports are reserved by convention to identify specific service types on a host.",1
,Q188,what area code is 479,D188,Area code 479,D188-0,"Area code 479 is the telephone area code serving thirteen counties in northwest Arkansas , including the cities of Fort Smith , Fayetteville , Springdale , Rogers and Bentonville : the second, third, fourth, eighth and tenth-largest cities in the state, respectively.",1
,Q188,what area code is 479,D188,Area code 479,D188-2,"Area code 479 serves Benton , Carroll (split with area code 870 ), Crawford , Franklin , Johnson , Logan , Madison , Polk , Pope , Scott , Sebastian , Washington and Yell Counties in Arkansas.",1
,Q189,what does arraignment mean,D189,Arraignment,D189-0,Arraignment is a formal reading of a criminal charging document in the presence of the defendant to inform the defendant of the charges against him or her.,1
,Q190,what did chaucer do,D190,Geoffrey Chaucer,D190-1,"While he achieved fame during his lifetime as an author, philosopher, alchemist and astronomer , composing a scientific treatise on the astrolabe for his ten year-old son Lewis, Chaucer also maintained an active career in the civil service as a bureaucrat, courtier and diplomat.",1
,Q190,what did chaucer do,D190,Geoffrey Chaucer,D190-3,"Chaucer is a crucial figure in developing the legitimacy of the vernacular , Middle English , at a time when the dominant literary languages in England were French and Latin.",1
,Q193,what does am and pm stand for,D193,12-hour clock,D193-0,"The 12-hour clock is a time convention in which the 24 hours of the day are divided into two periods: a.m. (from the Latin ante meridiem, meaning ""before midday"") and p.m. (post meridiem, ""after midday"").",1
,Q195,how is canada's health care,D195,Comparison of the health care systems in Canada and the United States,D195-9,"A 2007 review of all studies comparing health outcomes in Canada and the US in a Canadian peer-reviewed medical journal found that ""health outcomes may be superior in patients cared for in Canada versus the United States, but differences are not consistent.""",1
,Q203,how do pineapples grow,D203,Pineapple,D203-1,"Pineapples may be cultivated from a crown cutting of the fruit, possibly flowering in 20–24 months and fruiting in the following six months.",1
,Q207,what country did wine originate in,D207,History of wine,D207-2,"Archaeological evidence suggests that the earliest known wine production occurred in what is now the country of Georgia around 7000 BCE, with other notable sites in Greater Iran dated 4500 BCE and Armenia 4100 BCE, respectively.",1
,Q208,how many district are in west bengal,D208,List of districts of West Bengal,D208-6,"In 1947, when India gained independence, the state of West Bengal was formed with 14 districts, as per partition plan of the then Bengal province of British India .",1
,Q210,how many towns in new hampshire,D210,List of cities and towns in New Hampshire,D210-0,This is a list of the 221 towns and 13 cities in the U.S. state of New Hampshire .,1
,Q214,what does salesforce.com do?,D214,Salesforce.com,D214-1,"Though best known for its customer relationship management (CRM) product, Salesforce has also expanded into the ""social enterprise arena"" through acquisitions.",1
,Q217,what does 1 year mean to the planet,D217,Earth,D217-12,"During one orbit around the Sun, the Earth rotates about its own axis 366.26 times, creating 365.26 solar days , or one sidereal year .",1
,Q219,what is feedback mechanism in plants during respiration,D219,Cellular respiration,D219-1,"Cellular respiration is the set of the metabolic reactions and processes that take place in the cells of organisms to convert biochemical energy from nutrients into adenosine triphosphate (ATP), and then release waste products.",1
,Q220,how fire extinguisher works,D220,Fire extinguisher,D220-13,"Cartridge-operated extinguishers contain the expellant gas in a separate cartridge that is punctured prior to discharge, exposing the propellant to the extinguishing agent.",1
,Q225,what countries are in central america?,D225,Central america,D225-3,"Central America consists of seven countries: Belize , Costa Rica , El Salvador , Guatemala , Honduras , Nicaragua , and Panama .",1
,Q227,how does a steam engine work,D227,Steam engine,D227-2,A steam engine is a heat engine that performs mechanical work using steam as its working fluid .,1
,Q227,how does a steam engine work,D227,Steam engine,D227-13,"Steam engines are external combustion engines , where the working fluid is separate from the combustion products.",1
,Q237,what county is tacoma washington in,D237,"Tacoma, Washington",D237-0,"Tacoma (, ) is a mid-sized urban port city and the county seat of Pierce County, Washington , United States.",1
,Q238,what county is chula vista ca in,D238,"Chula Vista, California",D238-5,"As the second largest city in San Diego County , Chula Vista has quickly become a destination popular to many tourists.",1
,Q240,what did isaac newton do,D240,Isaac Newton,D240-0,Sir Isaac Newton (25 December 164220 March 1727) was an English physicist and mathematician who is widely regarded as one of the most influential scientists of all time and as a key figure in the scientific revolution .,1
,Q241,what does the universal law of gravitation state,D241,Newton's law of universal gravitation,D241-2,Newton's law of universal gravitation states that every point mass in the universe attracts every other point mass with a force that is directly proportional to the product of their masses and inversely proportional to the square of the distance between them.,1
,Q244,how many US soldiers killed in Iraq war,D244,Casualties of the Iraq War,D244-6,"A total of 4,486 U.S. soldiers were killed in Iraq between 2003 and 2012.",1
,Q255,how many professional hockey teams in canada,D255,National Hockey League,D255-4,"It started with four teams and, through a series of expansions, contractions, and relocations, the league is now composed of 30 active franchises.",1
,Q261,what county is northville mi,D261,"Northville, Michigan",D261-0,Northville is an affluent city located in and divided by Oakland and Wayne counties in the U.S. state of Michigan .,1
,Q261,what county is northville mi,D261,"Northville, Michigan",D261-3,"Most of the city is in Oakland County, and is surrounded by the city of Novi .",1
,Q267,how many games did brett favre start in a row,D212,Brett Favre,D212-9,"He has led teams to eight division championships ( 1995 , 1996 , 1997 , 2002 , 2003 , 2004 , 2007 , 2009 ), five NFC Championship Games ( 1995 , 1996 , 1997 , 2007 , 2009 ), and two Super Bowl appearances ( Super Bowl XXXI , Super Bowl XXXII ), winning one (Super Bowl XXXI).",1
,Q273,what does a vote to table a motion mean?,D272,Table (parliamentary procedure),D272-1,"In the United States, to table usually means the to lay [the topic] on the table or to move for postponement of consideration; a proposal to suspend consideration of a pending motion.",1
,Q276,What does the class mean for SDHC cards?,D275,Secure Digital,D275-4,"The four families are the original Standard-Capacity (SDSC), the High-Capacity ( SDHC ), the eXtended-Capacity ( SDXC ), and the SDIO , which combines input/output functions with data storage.",1
,Q289,what do porcupines eat,D288,Porcupine,D288-8,"It eats leaves, herbs, twigs and green plants like skunk cabbage and clover and in the winter it may eat bark.",1
,Q290,what did elijah mccoy invent,D289,Elijah McCoy,D289-1,"Elijah J. McCoy (May 2, 1844 – October 10, 1929) was a black Canadian-American inventor and engineer, who was notable for his 57 U.S. patents , most to do with lubrication of steam engines.",1
,Q295,how many apple store are there in total?,D294,Apple Store,D294-4,", Apple has 405 stores worldwide, with global sales of billion in merchandise in 2011, and they lead the United States retail market in terms of sales per unit area .",1
,Q299,What does the idea of effective nuclear charge tell us,D298,Effective nuclear charge,D298-2,"The term ""effective"" is used because the shielding effect of negatively charged electrons prevents higher orbital electrons from experiencing the full nuclear charge by the repelling effect of inner-layer electrons.",1
,Q303,what domain is eu,D302,.eu,D302-0,.eu is the country code top-level domain (ccTLD) for the European Union (EU).,1
,Q304,"What does the name ""Meister"" mean in German",D303,Meister,D303-0,"Meister means master in German (as in master craftsman , or as an honorific title such as Meister Eckhart ).",1
,Q307,How did Edgar Allan Poe die?,D306,Edgar allan poe,D306-15,"On October 7, 1849, at age 40, Poe died in Baltimore; the cause of his death is unknown and has been variously attributed to alcohol, brain congestion, cholera , drugs, heart disease, rabies , suicide, tuberculosis, and other agents.",1
,Q311,how many seasons heroes,D310,Heroes (TV series),D310-5,"Four complete seasons aired, ending on February 8, 2010.",1
,Q317,what holiday is first weekend of september,D316,Labor day,D316-0,"Labor Day is an American federal holiday observed on the first Monday in September, that celebrates the economic and social contributions of workers.",1
,Q320,what does life insurance cover?,D319,Life insurance,D319-0,"Life insurance is a contract between an insured (insurance policy holder) and an insurer , where the insurer promises to pay a designated beneficiary a sum of money (the ""benefits"") upon the death of the insured person.",1
,Q320,what does life insurance cover?,D319,Life insurance,D319-1,"Depending on the contract, other events such as terminal illness or critical illness may also trigger payment.",1
,Q320,what does life insurance cover?,D319,Life insurance,D319-7,"Protection policies – designed to provide a benefit in the event of specified event, typically a lump sum payment.",1
,Q321,how many days does the chinese new year last,D320,Chinese New Year,D320-2,9 – 12 February (Vietnam),1
,Q326,how many consoles has xbox 360 sold,D325,Xbox 360,D325-2,"As of September 30, 2012, 70 million Xbox 360 consoles have been sold worldwide.",1
,Q327,how is a backpack made,D326,Backpack,D326-11,"The bag itself was made up of different animal hide and skin (depending on what sorts of animals were in the area) and sewn together by the intestines of said animals, which were woven together tightly to make a sturdy thread-like material.",1
,Q328,WHAT COUNTRY IS MEXICO IN,D327,Mexico,D327-0,"Mexico (; ; ), officially the United Mexican States (), is a federal constitutional republic in North America.",1
,Q330,how is slugging percentage calculated,D329,Slugging percentage,D329-2,It is calculated as total bases divided by at bats :,1
,Q334,what cheese is made from goat's milk,D333,Goat cheese,D333-1,"Goat cheese, or chèvre (from the French word for goat), is cheese made out of the milk of goats .",1
,Q338,what country is belize in,D337,Belize,D337-0,"Belize , is a country located on the northeastern coast of Central America.",1
,Q341,how many stars on the first american flag,D340,Betsy Ross flag,D340-3,The flag was designed during the American Revolution and features 13 stars to represent the original 13 colonies .,1
,Q342,how does a cat purr,D341,Purr,D341-4,"However, using a strict definition of purring that continuous sound production must alternate between pulmonic egressive and ingressive airstream (and usually go on for minutes), Peters (2002), in an exhaustive review of the scientific literature, reached the conclusion that until then only ‘purring cats’ (Felidae) and two species of genets , Genetta tigrina, and most likely also Genetta genetta, had been documented to purr.",1
,Q346,what county is St. Elizabeth MO in,D345,"St. Elizabeth, Missouri",D345-0,"St. Elizabeth is a village in Miller County , Missouri , United States .",1
,Q348,what county is wilton ca in,D347,"Wilton, California",D347-0,"Wilton is a census-designated place (CDP) in Sacramento County , California , United States .",1
,Q352,what happened to stevie ray vaughan,D351,Stevie Ray Vaughan,D351-14,"On August 27, 1990, Vaughan was killed in a helicopter crash following a performance in East Troy, Wisconsin .",1
,Q354,how many gold gloves does barry larkin have,D353,Barry Larkin,D353-3,"Larkin is considered one of the top players of his era, winning nine Silver Slugger awards and three Gold Glove awards .",1
,Q358,what caused ww,D357,Causes of World War I,D357-2,"The causes of World War I , which began in central Europe in late July 1914 and finished in 1918, included many factors, such as the conflicts and hostility of the four decades leading up to the war.",1
,Q364,what kind of legal remedy is it to ask someone to fulfill there promise,D363,Contract,D363-7,"The word promise can be used as a legal synonym for contract, although care is required as a promise may not have the full standing of a contract, as when it is an agreement without consideration .",1
,Q365,how is ASP.NET different from .NET,D364,ASP.NET,D364-0,ASP.NET is a server-side Web application framework designed for Web development to produce dynamic Web pages .,1
,Q366,how does lsd impact the human body,D365,Lysergic acid diethylamide,D365-0,"Lysergic acid diethylamide, abbreviated LSD or LSD-25, also known as lysergide ( INN ) and colloquially as acid, is a semisynthetic psychedelic drug of the ergoline family, well known for its psychological effects which can include altered thinking processes, closed and open eye visuals, synesthesia , an altered sense of time and spiritual experiences , as well as for its key role in 1960s counterculture .",1
,Q366,how does lsd impact the human body,D365,Lysergic acid diethylamide,D365-2,"LSD is non-addictive, is not known to cause brain damage, and has extremely low toxicity relative to dose .",1
,Q366,how does lsd impact the human body,D365,Lysergic acid diethylamide,D365-3,"However, adverse psychiatric reactions such as anxiety, paranoia, and delusions are possible.",1
,Q370,how many people live in memphis tennessee,D369,"Memphis, Tennessee",D369-2,"Memphis had a population of 672,277 in 2011 making it the largest city in the state of Tennessee , the largest city on the Mississippi River , the third largest in the Southeastern United States , and the 20th largest in the United States.",1
,Q372,how many muscles in the human body,D371,List of muscles of the human body,D371-2,"There are approximately 642 skeletal muscles within the typical human, and almost every muscle constitutes one part of a pair of identical bilateral muscles, found on both sides, resulting in approximately 320 pairs of muscles, as presented in this article.",1
,Q373,how did seminole war end,D372,Seminole Wars,D372-5,"Ultimately, the Spanish Crown ceded the colony to United States rule.",1
,Q374,what county is orono maine in,D373,"Orono, Maine",D373-0,"Orono is a town in Penobscot County , Maine , United States .",1
,Q377,what it is a pilot study,D375,Pilot experiment,D375-0,"A pilot experiment, also called a pilot study, is a small scale preliminary study conducted in order to evaluate feasibility, time, cost, adverse events, and effect size (statistical variability) in an attempt to predict an appropriate sample size and improve upon the study design prior to performance of a full-scale research project.",1
,Q389,what chili wants wiki,D387,What Chilli Wants,D387-0,"What Chilli Wants is an American reality series on VH1 starring Chilli , one-third of the Grammy Award -winning R&B trio TLC .",1
,Q398,what division is boise state football,D396,Boise State Broncos football,D396-0,The Boise State Broncos football program represents Boise State University in college football and compete in the Football Bowl Subdivision (FBS) of Division I as a member of the Mountain West Conference .,1
,Q402,"What does the term ""mens rea"" mean",D400,Mens rea,D400-0,"Mens rea is Latin for ""guilty mind"".",1
,Q406,what do UA's detect,D403,Drug test,D403-0,"A drug test is a technical analysis of a biological specimen – for example urine, hair, blood, sweat, or oral fluid / saliva – to determine the presence or absence of specified parent drugs or their metabolites .",1
,Q409,how much caffeine is in a shot of espresso,D406,Espresso,D406-4,"Espresso has more caffeine per unit volume than most beverages, but the usual serving size is smaller—a typical 60 mL (2 US fluid ounce ) of espresso has 80 to 150 mg of caffeine, little less than the 95 to 200 mg of a standard 240 mL (8 US fluid ounces ) cup of drip-brewed coffee.",1
,Q416,how did the penguins acquire sidney crosby,D412,Sidney Crosby,D412-1,Crosby was drafted first overall by the Penguins out of the Quebec Major Junior Hockey League (QMJHL).,1
,Q417,what does add my two cents mean,D413,My two cents,D413-1,"My two cents (2¢) and its longer version ""put my two cents in"" is an United States (US) idiomatic expression, taken from the original English idiom expression: to put in ""my two pennies worth"" or ""my tuppence worth.""",1
,Q420,how much total wealth in USA,D416,Wealth in the United States,D416-10,"Including human capital such as skills, the United Nations estimated the total wealth of the United States in 2008 to be $118 trillion.",1
,Q433,how was the moon formed,D428,Moon,D428-12,"The Moon is thought to have formed nearly 4.5 billion years ago, not long after the Earth.",1
,Q433,how was the moon formed,D428,Moon,D428-13,"Although there have been several hypotheses for its origin in the past, the current most widely accepted explanation is that the Moon formed from the debris left over after a giant impact between Earth and a Mars -sized body.",1
,Q435,what did ronald reagan do as president,D430,Ronald Reagan,D430-9,"As president, Reagan implemented sweeping new political and economic initiatives.",1
,Q441,how many presidents have been assassinated,D436,List of United States presidential assassination attempts and plots,D436-1,"Four sitting presidents have been killed: Abraham Lincoln (the 16th President), James A. Garfield (the 20th President), William McKinley (the 25th President) and John F. Kennedy (the 35th President).",1
,Q443,what does oklahoma produce,D438,Oklahoma,D438-5,"A major producer of natural gas , oil , and agriculture, Oklahoma relies on an economic base of aviation, energy, telecommunications, and biotechnology .",1
,Q444,how many redwall books are there,D439,Redwall,D439-3,There have been twenty-two novels and two picture books published.,1
,Q446,what date did the american civil war start,D359,American Civil War,D359-12,"Hostilities began on April 12, 1861, when Confederate forces fired upon Fort Sumter , a key fort held by Union troops in South Carolina.",1
,Q447,what does bruce jenner do,D441,Bruce Jenner,D441-0,"William Bruce Jenner (born October 28, 1949) is a former U.S. track and field athlete , motivational speaker , socialite , television personality and businessman .",1
,Q450,what area code is 217,D444,Area code 217,D444-0,Area code 217 is the North American telephone area code for much of western and central Illinois .,1
,Q450,what area code is 217,D444,Area code 217,D444-1,"The 217 area includes Illinois' capital , Springfield , plus Champaign , Urbana , Decatur , Danville , Quincy , and Rantoul .",1
,Q464,How many consecutive games did Ken Jennings win?,D457,Ken Jennings,D457-3,"In 2004, Jennings won 74 Jeopardy!",1
,Q468,"what county is jennings, la",D461,"Jennings, Louisiana",D461-0,"Jennings is a small city in and the parish seat of Jefferson Davis Parish , Louisiana , United States , near Lake Charles .",1
,Q469,how does nanotechnology affect health,D462,Nanotechnology,D462-11,"Nanotechnology may be able to create many new materials and devices with a vast range of applications , such as in medicine , electronics , biomaterials and energy production.",1
,Q473,how much does united states spend on health care,D466,Health care in the United States,D466-8,"According to the World Health Organization (WHO), the United States spent more on health care per capita ($7,146), and more on health care as percentage of its GDP (15.2%), than any other nation in 2008.",1
,Q476,what does it take to start a lodge in freemason,D469,Masonic Lodge,D469-1,"Every new Lodge must be warranted or chartered by a Grand Lodge, but is subject to its direction only in enforcing the published Constitution of the jurisdiction.",1
,Q480,how does black pepper grow,D473,Black pepper,D473-0,"Black pepper (Piper nigrum) is a flowering vine in the family Piperaceae , cultivated for its fruit , which is usually dried and used as a spice and seasoning .",1
,Q482,how south african leaders are elected,D475,President of South Africa,D475-2,"The President is elected by members of the National Assembly , the lower house of Parliament , and is usually the leader of the largest party, which has been the African National Congress since the first non-racial elections were held on 27 April 1994.",1
,Q485,how was the phone invented,D478,Invention of the telephone,D478-1,"The invention of the telephone is the culmination of work done by many individuals, the history of which involves a collection of claims and counterclaims.",1
